,workerid,predicate,noun,sentence_type,slide_number,response
99,3,heavy,trees,coll,14,0.01
100,3,heavy,trees,dist,14,1
101,3,big,houses,coll,20,0.01
102,3,big,houses,dist,20,0.98
103,3,heavy,men,dist,21,0.98
104,3,heavy,men,coll,21,0.02
105,3,tall,trees,dist,22,0.98
106,3,tall,trees,coll,22,0.01
107,3,heavy,loads,dist,24,0.98
108,3,heavy,loads,coll,24,0.01
109,3,tall,buildings,dist,26,0.99
110,3,tall,buildings,coll,26,0.01
111,3,big,children,coll,27,0.02
112,3,big,children,dist,27,0.99
113,3,big,waves,dist,29,0.97
114,3,big,waves,coll,29,0.02
115,3,big,boys,coll,30,0.02
116,3,big,boys,dist,30,0.98
117,4,big,houses,coll,5,0.08
118,4,big,houses,dist,5,0.71
119,4,heavy,loads,coll,7,0.31
120,4,heavy,loads,dist,7,0.67
121,4,tall,buildings,dist,8,0.85
122,4,tall,buildings,coll,8,0.11
123,4,big,waves,dist,9,0.87
124,4,big,waves,coll,9,0.17
125,4,heavy,lids,coll,10,0.6
126,4,heavy,lids,dist,10,0.33
127,4,big,children,dist,12,0.56
128,4,big,children,coll,12,0.4
129,4,heavy,bags,coll,13,0.72
130,4,heavy,bags,dist,13,0.52
131,4,big,rooms,dist,14,0.84
132,4,big,rooms,coll,14,0.18
133,4,tall,plants,coll,17,0.66
134,4,tall,plants,dist,17,0.54
135,4,tall,windows,dist,20,0.82
136,4,tall,windows,coll,20,0.2
137,4,tall,trees,coll,21,0.2
138,4,tall,trees,dist,21,0.7
139,4,big,boys,dist,23,0.73
140,4,big,boys,coll,23,0.15
141,4,tall,offspring,dist,27,0.81
142,4,tall,offspring,coll,27,0.21
143,4,heavy,men,dist,31,0.75
144,4,heavy,men,coll,31,0.34
145,4,heavy,trees,dist,32,0.67
146,4,heavy,trees,coll,32,0.25
147,5,heavy,loads,coll,4,0.1
148,5,heavy,loads,dist,4,0.88
149,5,heavy,men,coll,5,0.34
150,5,heavy,men,dist,5,0.85
151,5,tall,windows,coll,6,0.34
152,5,tall,windows,dist,6,0.73
153,5,tall,trees,coll,8,0.29
154,5,tall,trees,dist,8,0.83
155,5,big,houses,dist,15,0.82
156,5,big,houses,coll,15,0.18
157,5,big,boys,dist,16,0.88
158,5,big,boys,coll,16,0.06
159,5,big,waves,dist,17,0.72
160,5,big,waves,coll,17,0.45
161,5,tall,offspring,dist,19,0.79
162,5,tall,offspring,coll,19,0.14
163,5,big,children,dist,20,0.85
164,5,big,children,coll,20,0.15
165,5,tall,plants,dist,23,0.78
166,5,tall,plants,coll,23,0.48
167,5,tall,buildings,coll,27,0.47
168,5,tall,buildings,dist,27,0.8
169,5,heavy,lids,coll,28,0.88
170,5,heavy,lids,dist,28,0.52
171,5,big,rooms,dist,29,0.73
172,5,big,rooms,coll,29,0.45
173,5,heavy,bags,coll,30,0.81
174,5,heavy,bags,dist,30,0.62
175,5,heavy,trees,coll,32,0.7
176,5,heavy,trees,dist,32,0.71
177,6,heavy,bags,coll,3,1
178,6,heavy,bags,dist,3,0
179,6,big,waves,coll,4,0.59
180,6,big,waves,dist,4,0.35
181,6,heavy,men,coll,7,1
182,6,heavy,men,dist,7,0
183,6,heavy,loads,coll,9,0.14
184,6,heavy,loads,dist,9,0.89
185,6,heavy,lids,dist,10,0.68
186,6,heavy,lids,coll,10,0.42
187,6,tall,offspring,coll,11,0.91
188,6,tall,offspring,dist,11,0.08
189,6,tall,plants,coll,15,1
190,6,tall,plants,dist,15,0.08
191,6,tall,windows,coll,16,0.36
192,6,tall,windows,dist,16,0.76
193,6,tall,buildings,dist,18,0.18
194,6,tall,buildings,coll,18,1
195,6,big,houses,coll,20,1
196,6,big,houses,dist,20,0
197,6,big,rooms,dist,22,0.42
198,6,big,rooms,coll,22,0.51
199,6,big,boys,coll,23,0.82
200,6,big,boys,dist,23,0.27
201,6,heavy,trees,coll,25,0.26
202,6,heavy,trees,dist,25,0.85
203,6,big,children,coll,31,0.76
204,6,big,children,dist,31,0.29
205,6,tall,trees,dist,32,0.06
206,6,tall,trees,coll,32,0.91
207,7,big,boys,coll,3,NA
208,7,big,boys,dist,3,1
209,7,big,houses,coll,5,NA
210,7,big,houses,dist,5,1
211,7,tall,buildings,coll,7,0
212,7,tall,buildings,dist,7,1
213,7,big,rooms,dist,8,0.99
214,7,big,rooms,coll,8,0.01
215,7,tall,plants,dist,9,0.97
216,7,tall,plants,coll,9,0.03
217,7,heavy,bags,coll,12,0.99
218,7,heavy,bags,dist,12,0.52
219,7,heavy,lids,dist,13,0.97
220,7,heavy,lids,coll,13,0.45
221,7,tall,windows,coll,15,0.01
222,7,tall,windows,dist,15,1
223,7,big,children,dist,18,0.99
224,7,big,children,coll,18,0.03
225,7,heavy,loads,dist,24,0.98
226,7,heavy,loads,coll,24,0.99
227,7,big,waves,dist,25,0.97
228,7,big,waves,coll,25,0.01
229,7,heavy,men,dist,27,0.98
230,7,heavy,men,coll,27,0.01
231,7,heavy,trees,dist,28,1
232,7,heavy,trees,coll,28,0.43
233,7,tall,trees,coll,29,0
234,7,tall,trees,dist,29,0.98
235,7,tall,offspring,dist,32,1
236,7,tall,offspring,coll,32,0.03
237,8,big,houses,dist,4,0.98
238,8,big,houses,coll,4,0.02
239,8,tall,buildings,coll,5,0.02
240,8,tall,buildings,dist,5,0.98
241,8,tall,windows,dist,6,0.97
242,8,tall,windows,coll,6,0
243,8,heavy,loads,coll,7,0.12
244,8,heavy,loads,dist,7,0.92
245,8,tall,offspring,dist,8,0.98
246,8,tall,offspring,coll,8,0.01
247,8,tall,trees,dist,10,0.99
248,8,tall,trees,coll,10,0.02
249,8,big,rooms,coll,11,0.03
250,8,big,rooms,dist,11,0.98
251,8,big,children,coll,13,0
252,8,big,children,dist,13,0.99
253,8,big,boys,dist,17,0.96
254,8,big,boys,coll,17,0.04
255,8,big,waves,dist,18,0.78
256,8,big,waves,coll,18,0.17
257,8,heavy,bags,coll,22,0.86
258,8,heavy,bags,dist,22,0.18
259,8,heavy,trees,coll,26,0.98
260,8,heavy,trees,dist,26,0.04
261,8,heavy,men,dist,28,0.97
262,8,heavy,men,coll,28,0.02
263,8,heavy,lids,coll,31,1
264,8,heavy,lids,dist,31,0.02
265,8,tall,plants,coll,32,0.04
266,8,tall,plants,dist,32,0.96
267,9,tall,trees,dist,3,0.59
268,9,tall,trees,coll,3,0.86
269,9,heavy,men,dist,6,0.11
270,9,heavy,men,coll,6,0.88
271,9,big,houses,coll,7,0.1
272,9,big,houses,dist,7,0.88
273,9,tall,plants,dist,9,0.85
274,9,tall,plants,coll,9,0.13
275,9,tall,offspring,dist,10,0.16
276,9,tall,offspring,coll,10,0.79
277,9,big,rooms,dist,11,0.14
278,9,big,rooms,coll,11,0.82
279,9,heavy,trees,coll,12,0.79
280,9,heavy,trees,dist,12,0.14
281,9,heavy,lids,coll,14,0.78
282,9,heavy,lids,dist,14,0.21
283,9,tall,buildings,dist,19,0.13
284,9,tall,buildings,coll,19,0.8
285,9,tall,windows,coll,20,0.75
286,9,tall,windows,dist,20,0.16
287,9,heavy,loads,coll,23,0.78
288,9,heavy,loads,dist,23,0.16
289,9,big,boys,coll,24,0.14
290,9,big,boys,dist,24,0.79
291,9,big,children,dist,27,0.09
292,9,big,children,coll,27,0.81
293,9,heavy,bags,dist,28,0.13
294,9,heavy,bags,coll,28,0.82
295,9,big,waves,coll,29,0.81
296,9,big,waves,dist,29,0.2
297,10,heavy,bags,coll,3,0.58
298,10,heavy,bags,dist,3,0.58
299,10,big,waves,coll,4,0.63
300,10,big,waves,dist,4,0.7
301,10,heavy,lids,dist,6,0.74
302,10,heavy,lids,coll,6,0.77
303,10,heavy,loads,dist,7,0.71
304,10,heavy,loads,coll,7,0.87
305,10,big,boys,dist,8,0.87
306,10,big,boys,coll,8,0.81
307,10,big,children,dist,11,0.96
308,10,big,children,coll,11,0.94
309,10,tall,offspring,dist,12,0.95
310,10,tall,offspring,coll,12,0.95
311,10,heavy,men,coll,13,0.9
312,10,heavy,men,dist,13,0.93
313,10,big,rooms,coll,14,0.68
314,10,big,rooms,dist,14,0.98
315,10,tall,trees,coll,17,0.52
316,10,tall,trees,dist,17,0.95
317,10,heavy,trees,coll,24,0.55
318,10,heavy,trees,dist,24,0.95
319,10,tall,windows,dist,26,0.99
320,10,tall,windows,coll,26,0.53
321,10,big,houses,coll,28,0.32
322,10,big,houses,dist,28,0.98
323,10,tall,plants,dist,31,0.94
324,10,tall,plants,coll,31,0.64
325,10,tall,buildings,coll,32,0.53
326,10,tall,buildings,dist,32,0.97
327,11,tall,trees,dist,3,1
328,11,tall,trees,coll,3,1
329,11,big,rooms,coll,4,1
330,11,big,rooms,dist,4,1
331,11,tall,plants,dist,8,1
332,11,tall,plants,coll,8,0.56
333,11,big,waves,coll,9,0.99
334,11,big,waves,dist,9,1
335,11,big,boys,coll,14,1
336,11,big,boys,dist,14,0.65
337,11,heavy,trees,dist,21,0.96
338,11,heavy,trees,coll,21,0.51
339,11,heavy,loads,dist,24,1
340,11,heavy,loads,coll,24,0.87
341,11,big,children,dist,26,0.83
342,11,big,children,coll,26,0.46
343,11,tall,offspring,coll,27,0
344,11,tall,offspring,dist,27,1
345,11,heavy,men,dist,29,1
346,11,heavy,men,coll,29,0
347,11,heavy,bags,dist,30,1
348,11,heavy,bags,coll,30,0.49
349,11,tall,buildings,dist,31,1
350,11,tall,buildings,coll,31,0.49
351,11,big,houses,dist,32,1
352,11,big,houses,coll,32,0
353,12,heavy,men,coll,4,0.08
354,12,heavy,men,dist,4,0.94
355,12,tall,trees,coll,5,0.09
356,12,tall,trees,dist,5,0.96
357,12,tall,plants,dist,6,0.82
358,12,tall,plants,coll,6,0.82
359,12,big,rooms,coll,7,0.07
360,12,big,rooms,dist,7,0.96
361,12,tall,windows,coll,9,0.02
362,12,tall,windows,dist,9,0.98
363,12,big,boys,dist,10,1
364,12,big,boys,coll,10,0.09
365,12,tall,offspring,dist,11,1
366,12,tall,offspring,coll,11,0
367,12,big,children,coll,13,0.01
368,12,big,children,dist,13,0.99
369,12,tall,buildings,coll,17,0.02
370,12,tall,buildings,dist,17,0.97
371,12,big,houses,coll,20,0
372,12,big,houses,dist,20,0.98
373,12,heavy,lids,dist,21,0.97
374,12,heavy,lids,coll,21,0.05
375,12,big,waves,coll,23,0.54
376,12,big,waves,dist,23,0.98
377,12,heavy,bags,coll,26,0.56
378,12,heavy,bags,dist,26,0.81
379,12,heavy,loads,coll,31,0.01
380,12,heavy,loads,dist,31,0.98
381,13,big,houses,coll,3,0
382,13,big,houses,dist,3,1
383,13,tall,plants,coll,4,0.2
384,13,tall,plants,dist,4,0.95
385,13,heavy,lids,dist,5,0.94
386,13,heavy,lids,coll,5,0.36
387,13,big,rooms,coll,9,0.36
388,13,big,rooms,dist,9,0.96
389,13,tall,trees,dist,10,1
390,13,tall,trees,coll,10,0
391,13,heavy,loads,dist,13,0.49
392,13,heavy,loads,coll,13,0.49
393,13,tall,buildings,coll,16,0
394,13,tall,buildings,dist,16,1
395,13,big,children,coll,17,0.06
396,13,big,children,dist,17,0.95
397,13,big,boys,coll,18,0.03
398,13,big,boys,dist,18,0.96
399,13,tall,offspring,coll,20,0.16
400,13,tall,offspring,dist,20,0.94
401,13,tall,windows,coll,21,0.2
402,13,tall,windows,dist,21,0.76
403,13,big,waves,coll,24,0.22
404,13,big,waves,dist,24,0.89
405,13,heavy,men,dist,25,0.49
406,13,heavy,men,coll,25,0.49
407,13,heavy,bags,dist,29,0.54
408,13,heavy,bags,coll,29,0.54
409,13,heavy,trees,dist,32,0.53
410,13,heavy,trees,coll,32,0.47
411,14,tall,buildings,coll,3,0.01
412,14,tall,buildings,dist,3,0.97
413,14,heavy,men,coll,5,0.03
414,14,heavy,men,dist,5,0.96
415,14,heavy,loads,coll,7,0.01
416,14,heavy,loads,dist,7,0.96
417,14,big,boys,coll,9,0.03
418,14,big,boys,dist,9,0.96
419,14,heavy,trees,coll,10,0.53
420,14,heavy,trees,dist,10,0.53
421,14,tall,trees,coll,11,0.02
422,14,tall,trees,dist,11,0.98
423,14,big,children,dist,15,0.8
424,14,big,children,coll,15,0.01
425,14,heavy,bags,dist,16,0.03
426,14,heavy,bags,coll,16,0.98
427,14,tall,plants,dist,17,0.98
428,14,tall,plants,coll,17,0.02
429,14,big,houses,dist,19,0.97
430,14,big,houses,coll,19,0.03
431,14,heavy,lids,coll,21,0.33
432,14,heavy,lids,dist,21,0.97
433,14,big,waves,coll,22,0.97
434,14,big,waves,dist,22,0.02
435,14,tall,windows,dist,25,0.97
436,14,tall,windows,coll,25,0.02
437,14,big,rooms,dist,27,0.97
438,14,big,rooms,coll,27,0.01
439,15,big,rooms,dist,4,1
440,15,big,rooms,coll,4,0
441,15,heavy,bags,coll,6,0.74
442,15,heavy,bags,dist,6,0.73
443,15,tall,offspring,dist,9,1
444,15,tall,offspring,coll,9,0.01
445,15,big,boys,dist,11,1
446,15,big,boys,coll,11,0
447,15,heavy,loads,coll,12,0.51
448,15,heavy,loads,dist,12,0.52
449,15,tall,windows,coll,13,0
450,15,tall,windows,dist,13,1
451,15,big,waves,coll,15,0
452,15,big,waves,dist,15,1
453,15,big,children,dist,16,1
454,15,big,children,coll,16,0
455,15,tall,buildings,dist,17,1
456,15,tall,buildings,coll,17,0
457,15,heavy,men,coll,19,0
458,15,heavy,men,dist,19,1
459,15,big,houses,coll,20,0
460,15,big,houses,dist,20,1
461,15,tall,trees,coll,24,0
462,15,tall,trees,dist,24,1
463,15,tall,plants,coll,25,0
464,15,tall,plants,dist,25,1
465,15,heavy,trees,coll,28,0.74
466,15,heavy,trees,dist,28,0.37
467,15,heavy,lids,dist,32,0.49
468,15,heavy,lids,coll,32,0.71
469,19,tall,buildings,dist,3,1
470,19,tall,buildings,coll,3,0
471,19,tall,trees,dist,4,0
472,19,tall,trees,coll,4,1
473,19,big,rooms,coll,9,0
474,19,big,rooms,dist,9,1
475,19,heavy,bags,coll,11,0
476,19,heavy,bags,dist,11,1
477,19,big,children,coll,12,0.02
478,19,big,children,dist,12,1
479,19,big,waves,dist,13,0
480,19,big,waves,coll,13,1
481,19,tall,windows,coll,16,0
482,19,tall,windows,dist,16,1
483,19,big,boys,coll,17,0.01
484,19,big,boys,dist,17,1
485,19,tall,offspring,dist,18,0
486,19,tall,offspring,coll,18,1
487,19,heavy,lids,coll,20,0
488,19,heavy,lids,dist,20,1
489,19,heavy,men,coll,22,0
490,19,heavy,men,dist,22,1
491,19,big,houses,coll,27,0.01
492,19,big,houses,dist,27,1
493,19,tall,plants,dist,28,1
494,19,tall,plants,coll,28,0.02
495,20,big,children,coll,3,0
496,20,big,children,dist,3,1
497,20,big,boys,coll,5,0.1
498,20,big,boys,dist,5,0.92
499,20,tall,offspring,dist,6,0.86
500,20,tall,offspring,coll,6,0.21
501,20,big,waves,dist,8,0.88
502,20,big,waves,coll,8,0.41
503,20,tall,windows,dist,9,0.77
504,20,tall,windows,coll,9,0.7
505,20,tall,buildings,dist,11,0.81
506,20,tall,buildings,coll,11,0.13
507,20,heavy,loads,coll,12,0.88
508,20,heavy,loads,dist,12,0.13
509,20,big,rooms,dist,16,0.86
510,20,big,rooms,coll,16,0.11
511,20,tall,trees,dist,17,0.9
512,20,tall,trees,coll,17,0.23
513,20,heavy,men,dist,18,0.84
514,20,heavy,men,coll,18,0.52
515,20,tall,plants,dist,19,0.87
516,20,tall,plants,coll,19,0.21
517,20,heavy,bags,coll,21,0.79
518,20,heavy,bags,dist,21,0.79
519,20,heavy,trees,coll,29,0.83
520,20,heavy,trees,dist,29,0.68
521,20,heavy,lids,dist,31,0.5
522,20,heavy,lids,coll,31,0.82
523,20,big,houses,coll,32,0.17
524,20,big,houses,dist,32,0.91
525,21,tall,plants,coll,4,0.01
526,21,tall,plants,dist,4,0.99
527,21,tall,buildings,dist,5,1
528,21,tall,buildings,coll,5,0.01
529,21,big,rooms,dist,7,0.99
530,21,big,rooms,coll,7,0.01
531,21,big,boys,dist,9,0.99
532,21,big,boys,coll,9,0
533,21,heavy,trees,coll,11,0.53
534,21,heavy,trees,dist,11,0.53
535,21,heavy,lids,dist,12,0.5
536,21,heavy,lids,coll,12,0.5
537,21,heavy,bags,coll,13,0.21
538,21,heavy,bags,dist,13,0.91
539,21,heavy,men,coll,19,0.69
540,21,heavy,men,dist,19,0.71
541,21,tall,offspring,dist,20,0.97
542,21,tall,offspring,coll,20,0.02
543,21,big,waves,coll,22,0.1
544,21,big,waves,dist,22,0.96
545,21,heavy,loads,dist,23,0.55
546,21,heavy,loads,coll,23,0.49
547,21,big,children,dist,24,0.95
548,21,big,children,coll,24,0.05
549,21,tall,trees,coll,27,0.03
550,21,tall,trees,dist,27,0.98
551,21,big,houses,coll,28,0.01
552,21,big,houses,dist,28,0.98
553,21,tall,windows,dist,29,0.99
554,21,tall,windows,coll,29,0.02
555,22,big,children,coll,3,0.03
556,22,big,children,dist,3,0.97
557,22,heavy,trees,dist,7,0.98
558,22,heavy,trees,coll,7,0.02
559,22,big,rooms,dist,8,0.98
560,22,big,rooms,coll,8,0.02
561,22,heavy,men,coll,9,0.72
562,22,heavy,men,dist,9,0.23
563,22,tall,trees,coll,12,0.03
564,22,tall,trees,dist,12,0.97
565,22,heavy,lids,dist,13,0.98
566,22,heavy,lids,coll,13,0
567,22,heavy,loads,dist,15,0.97
568,22,heavy,loads,coll,15,0.01
569,22,big,boys,coll,18,0.75
570,22,big,boys,dist,18,0.07
571,22,tall,windows,coll,19,0.05
572,22,tall,windows,dist,19,0.96
573,22,heavy,bags,coll,20,0.48
574,22,heavy,bags,dist,20,0.49
575,22,tall,plants,coll,21,0.07
576,22,tall,plants,dist,21,0.96
577,22,big,waves,coll,22,0.89
578,22,big,waves,dist,22,0.19
579,22,tall,buildings,coll,26,0.48
580,22,tall,buildings,dist,26,0.5
581,22,tall,offspring,coll,27,0.49
582,22,tall,offspring,dist,27,0.49
583,22,big,houses,dist,32,0.51
584,22,big,houses,coll,32,0.51
585,23,big,boys,dist,4,0.99
586,23,big,boys,coll,4,0
587,23,big,children,dist,6,0.99
588,23,big,children,coll,6,0.01
589,23,heavy,men,dist,10,1
590,23,heavy,men,coll,10,0
591,23,big,rooms,dist,11,0.99
592,23,big,rooms,coll,11,0
593,23,tall,trees,dist,16,0.99
594,23,tall,trees,coll,16,0.01
595,23,tall,windows,coll,18,0
596,23,tall,windows,dist,18,0.98
597,23,tall,offspring,dist,20,1
598,23,tall,offspring,coll,20,0.01
599,23,heavy,loads,coll,21,0.01
600,23,heavy,loads,dist,21,0.99
601,23,tall,buildings,coll,22,0
602,23,tall,buildings,dist,22,1
603,23,tall,plants,coll,23,0.01
604,23,tall,plants,dist,23,0.99
605,23,heavy,bags,coll,25,0
606,23,heavy,bags,dist,25,0.98
607,23,heavy,trees,dist,26,0.99
608,23,heavy,trees,coll,26,0.02
609,23,heavy,lids,dist,27,0.99
610,23,heavy,lids,coll,27,0.02
611,23,big,waves,coll,28,0.01
612,23,big,waves,dist,28,1
613,23,big,houses,coll,31,0
614,23,big,houses,dist,31,1
615,24,tall,buildings,dist,3,0.94
616,24,tall,buildings,coll,3,0.64
617,24,big,boys,coll,5,0.48
618,24,big,boys,dist,5,1
619,24,tall,trees,coll,7,0.94
620,24,tall,trees,dist,7,0.85
621,24,heavy,loads,coll,9,0.93
622,24,heavy,loads,dist,9,0.96
623,24,tall,plants,dist,14,0.92
624,24,tall,plants,coll,14,0.98
625,24,tall,windows,coll,15,0.98
626,24,tall,windows,dist,15,0.93
627,24,heavy,lids,dist,16,0.91
628,24,heavy,lids,coll,16,0.99
629,24,big,rooms,dist,17,0.77
630,24,big,rooms,coll,17,0.99
631,24,heavy,bags,coll,22,0.94
632,24,heavy,bags,dist,22,0.91
633,24,big,children,dist,23,0.94
634,24,big,children,coll,23,0.76
635,24,heavy,men,dist,25,0.91
636,24,heavy,men,coll,25,0.91
637,24,heavy,trees,dist,28,0.85
638,24,heavy,trees,coll,28,0.97
639,24,big,houses,coll,29,0.76
640,24,big,houses,dist,29,0.98
641,24,big,waves,dist,30,0.75
642,24,big,waves,coll,30,0.99
643,24,tall,offspring,coll,31,0.85
644,24,tall,offspring,dist,31,0.99
645,25,heavy,lids,coll,4,0.96
646,25,heavy,lids,dist,4,0.45
647,25,heavy,men,dist,5,0.97
648,25,heavy,men,coll,5,0.44
649,25,tall,buildings,coll,6,0.12
650,25,tall,buildings,dist,6,0.99
651,25,big,waves,dist,10,0.98
652,25,big,waves,coll,10,0.02
653,25,heavy,trees,coll,12,0.49
654,25,heavy,trees,dist,12,0.99
655,25,tall,trees,coll,13,0.03
656,25,tall,trees,dist,13,0.99
657,25,big,houses,coll,15,0
658,25,big,houses,dist,15,0.99
659,25,tall,windows,coll,17,0
660,25,tall,windows,dist,17,0.99
661,25,heavy,loads,coll,18,0.12
662,25,heavy,loads,dist,18,0.91
663,25,big,children,coll,21,0.05
664,25,big,children,dist,21,0.95
665,25,tall,offspring,dist,24,1
666,25,tall,offspring,coll,24,0.01
667,25,big,boys,coll,26,0.05
668,25,big,boys,dist,26,0.99
669,25,tall,plants,coll,27,0.06
670,25,tall,plants,dist,27,0.98
671,25,big,rooms,dist,28,0.98
672,25,big,rooms,coll,28,0.03
673,25,heavy,bags,dist,30,0.63
674,25,heavy,bags,coll,30,0.57
675,26,heavy,trees,dist,6,0.52
676,26,heavy,trees,coll,6,0.8
677,26,tall,windows,coll,7,0.21
678,26,tall,windows,dist,7,0.93
679,26,tall,offspring,dist,8,0.85
680,26,tall,offspring,coll,8,0.19
681,26,heavy,men,dist,9,0.82
682,26,heavy,men,coll,9,0.31
683,26,big,waves,dist,11,0.79
684,26,big,waves,coll,11,0.42
685,26,big,houses,dist,15,0.75
686,26,big,houses,coll,15,0.75
687,26,tall,trees,coll,16,0.49
688,26,tall,trees,dist,16,0.75
689,26,tall,buildings,dist,18,0.73
690,26,tall,buildings,coll,18,0.6
691,26,heavy,lids,dist,21,0.77
692,26,heavy,lids,coll,21,0.77
693,26,tall,plants,coll,27,0.79
694,26,tall,plants,dist,27,0.79
695,26,big,children,dist,28,0.78
696,26,big,children,coll,28,0.24
697,26,big,rooms,coll,29,0.11
698,26,big,rooms,dist,29,0.89
699,26,big,boys,dist,30,0.91
700,26,big,boys,coll,30,0.07
701,26,heavy,loads,dist,31,0.86
702,26,heavy,loads,coll,31,0.55
703,26,heavy,bags,coll,32,0.91
704,26,heavy,bags,dist,32,0.48
705,28,tall,windows,dist,3,0.83
706,28,tall,windows,coll,3,0.32
707,28,big,boys,dist,7,0.84
708,28,big,boys,coll,7,0.19
709,28,big,rooms,dist,8,0.84
710,28,big,rooms,coll,8,0.14
711,28,heavy,loads,dist,9,0.87
712,28,heavy,loads,coll,9,0.14
713,28,heavy,trees,coll,12,0.8
714,28,heavy,trees,dist,12,0.14
715,28,heavy,bags,dist,18,0.57
716,28,heavy,bags,coll,18,0.35
717,28,tall,trees,coll,19,0.2
718,28,tall,trees,dist,19,0.76
719,28,big,houses,dist,21,0.72
720,28,big,houses,coll,21,0.21
721,28,tall,buildings,dist,22,0.81
722,28,tall,buildings,coll,22,0.14
723,28,big,children,dist,25,0.55
724,28,big,children,coll,25,0.07
725,28,tall,plants,coll,27,0.1
726,28,tall,plants,dist,27,0.65
727,28,heavy,lids,dist,29,0.73
728,28,heavy,lids,coll,29,0.18
729,28,heavy,men,coll,30,0.24
730,28,heavy,men,dist,30,0.52
731,28,big,waves,dist,32,0.96
732,28,big,waves,coll,32,0.1
733,29,big,houses,dist,3,0.9
734,29,big,houses,coll,3,0.25
735,29,big,waves,coll,4,0.94
736,29,big,waves,dist,4,0.27
737,29,tall,windows,coll,11,0.1
738,29,tall,windows,dist,11,0.86
739,29,heavy,men,dist,12,0.52
740,29,heavy,men,coll,12,0.58
741,29,tall,trees,coll,13,0.05
742,29,tall,trees,dist,13,0.94
743,29,tall,offspring,dist,14,0.9
744,29,tall,offspring,coll,14,0.08
745,29,big,boys,coll,18,0.09
