,workerid,predicate,noun,sentence_type,slide_number,response,language
188,6,bright,eyes,coll,14,1,English
189,6,open,curtains,coll,17,0.93,English
190,6,open,curtains,dist,17,0.27,English
191,6,open,eyes,coll,18,0.47,English
192,6,open,eyes,dist,18,0.48,English
193,6,busy,roads,coll,19,0.28,English
194,6,busy,roads,dist,19,0.76,English
195,6,small,rooms,dist,21,0.87,English
196,6,small,rooms,coll,21,0.28,English
197,6,full,papers,coll,23,0.82,English
198,6,full,papers,dist,23,0.39,English
199,6,disappointing,results,dist,25,0.22,English
200,6,disappointing,results,coll,25,0.77,English
201,6,similar,facts,dist,26,0.12,English
202,6,similar,facts,coll,26,0.83,English
203,6,small,children,dist,29,0.28,English
204,6,small,children,coll,29,0.74,English
205,7,open,pubs,dist,3,0.67,english
206,7,open,pubs,coll,3,0.68,english
207,7,quiet,streets,coll,4,0.59,english
208,7,quiet,streets,dist,4,0,english
209,7,guilty,men,coll,7,0.22,english
210,7,guilty,men,dist,7,0.97,english
211,7,closed,doors,dist,15,0.83,english
212,7,closed,doors,coll,15,0.66,english
213,7,gratifying,results,dist,18,0.74,english
214,7,gratifying,results,coll,18,0.61,english
215,7,open,curtains,dist,23,0.91,english
216,7,open,curtains,coll,23,0.94,english
217,7,guilty,defendants,dist,25,0.96,english
218,7,guilty,defendants,coll,25,0.71,english
219,7,friendly,natives,coll,26,0.96,english
220,7,friendly,natives,dist,26,1,english
221,7,small,children,dist,30,0.97,english
222,7,small,children,coll,30,0.01,english
223,7,dark,windows,dist,32,0.81,english
224,7,dark,windows,coll,32,0.02,english
225,9,open,curtains,coll,3,0.93,English
226,9,open,curtains,dist,3,0.03,English
227,9,quiet,dogs,coll,4,0.98,English
228,9,quiet,dogs,dist,4,0.66,English
229,9,gratifying,results,coll,5,0.81,English
230,9,gratifying,results,dist,5,0.52,English
231,9,bright,colors,coll,7,0.18,English
232,9,bright,colors,dist,7,0.69,English
233,9,small,rooms,dist,8,0.79,English
234,9,small,rooms,coll,8,0.19,English
235,9,similar,facts,dist,10,0.47,English
236,9,similar,facts,coll,10,0.98,English
237,9,encouraging,results,dist,12,0.16,English
238,9,encouraging,results,coll,12,0.97,English
239,9,appalling,conditions,coll,13,0.98,English
240,9,appalling,conditions,dist,13,0.09,English
241,9,white,walls,coll,16,0.86,English
242,9,white,walls,dist,16,0.77,English
243,9,busy,roads,dist,20,0.95,English
244,9,busy,roads,coll,20,0.53,English
245,9,consistent,injuries,coll,21,0.98,English
246,9,consistent,injuries,dist,21,0.07,English
247,9,disappointing,results,dist,24,0.19,English
248,9,disappointing,results,coll,24,0.99,English
249,9,open,windows,coll,26,0.68,English
250,9,open,windows,dist,26,0.68,English
251,9,full,streets,coll,32,0.91,English
252,9,full,streets,dist,32,0.89,English
253,10,open,pubs,coll,3,0.06,English
254,10,open,pubs,dist,3,0.91,English
255,10,friendly,people,coll,4,0.28,English
256,10,friendly,people,dist,4,0.95,English
257,10,unreasonable,items,coll,8,0.3,English
258,10,unreasonable,items,dist,8,0.8,English
259,10,closed,doors,coll,10,0.52,English
260,10,closed,doors,dist,10,0.64,English
261,10,full,streets,dist,11,0.88,English
262,10,full,streets,coll,11,0.1,English
263,10,bright,colors,dist,13,0.82,English
264,10,bright,colors,coll,13,0.51,English
265,10,unchanged,shares,coll,18,0.55,English
266,10,unchanged,shares,dist,18,0.62,English
267,10,good,omens,coll,20,0.78,English
268,10,good,omens,dist,20,0.58,English
269,10,open,gates,dist,21,0.46,English
270,10,open,gates,coll,21,0.62,English
271,10,small,children,dist,24,0.85,English
272,10,small,children,coll,24,0.19,English
273,10,white,walls,coll,25,0.45,English
274,10,white,walls,dist,25,0.69,English
275,10,difficult,conditions,dist,28,0.58,English
276,10,difficult,conditions,coll,28,0.71,English
277,10,encouraging,results,coll,29,0.89,English
278,10,encouraging,results,dist,29,0.45,English
279,10,appalling,conditions,coll,31,0.83,English
280,10,appalling,conditions,dist,31,0.6,English
281,10,gratifying,results,dist,32,0.45,English
282,10,gratifying,results,coll,32,0.93,English
283,11,appalling,conditions,dist,5,0.99,English
284,11,appalling,conditions,coll,5,0.44,English
285,11,open,curtains,dist,6,0.02,English
286,11,open,curtains,coll,6,0.99,English
287,11,encouraging,results,dist,7,0.14,English
288,11,encouraging,results,coll,7,0.98,English
289,11,difficult,conditions,coll,8,0.98,English
290,11,difficult,conditions,dist,8,0.43,English
291,11,liable,defendants,coll,10,0.51,English
292,11,liable,defendants,dist,10,0.99,English
293,11,gratifying,results,dist,13,0.38,English
294,11,gratifying,results,coll,13,0.99,English
295,11,quiet,streets,dist,16,1,English
296,11,quiet,streets,coll,16,0.01,English
297,11,disappointing,results,dist,17,0.21,English
298,11,disappointing,results,coll,17,0.99,English
299,11,white,walls,coll,20,0.01,English
300,11,white,walls,dist,20,0.98,English
301,11,young,children,coll,21,0.02,English
302,11,young,children,dist,21,0.98,English
303,11,guilty,defendants,coll,22,0.01,English
304,11,guilty,defendants,dist,22,0.99,English
305,11,open,eyes,coll,23,0.99,English
306,11,open,eyes,dist,23,0.97,English
307,11,closed,shops,dist,24,0.98,English
308,11,closed,shops,coll,24,0.98,English
309,11,small,children,dist,27,0.98,English
310,11,small,children,coll,27,0.02,English
311,11,open,doors,dist,29,0.98,English
312,11,open,doors,coll,29,0.01,English
313,12,bright,colors,dist,4,1,english
314,12,bright,colors,coll,4,0.54,english
315,12,bare,walls,coll,10,0.01,english
316,12,bare,walls,dist,10,0.96,english
317,12,guilty,defendants,coll,11,0.87,english
318,12,guilty,defendants,dist,11,0.86,english
319,12,small,rooms,dist,13,0.92,english
320,12,small,rooms,coll,13,0.06,english
321,12,friendly,people,dist,14,1,english
322,12,friendly,people,coll,14,0.16,english
323,12,difficult,conditions,coll,15,0.86,english
324,12,difficult,conditions,dist,15,0.94,english
325,12,gratifying,results,coll,16,0.94,english
326,12,gratifying,results,dist,16,0.92,english
327,12,small,numbers,coll,20,1,english
328,12,small,numbers,dist,20,0.98,english
329,12,small,classes,dist,21,1,english
330,12,small,classes,coll,21,0.19,english
331,12,busy,roads,coll,23,1,english
332,12,busy,roads,dist,23,1,english
333,12,guilty,men,dist,24,1,english
334,12,guilty,men,coll,24,1,english
335,12,disappointing,results,dist,27,0.95,english
336,12,disappointing,results,coll,27,0.96,english
337,12,full,papers,dist,29,1,english
338,12,full,papers,coll,29,1,english
339,12,closed,shops,coll,31,1,english
340,12,closed,shops,dist,31,1,english
341,13,friendly,people,dist,6,0.34,English
342,13,friendly,people,coll,6,1,English
343,13,guilty,defendants,coll,8,0.97,English
344,13,guilty,defendants,dist,8,0.99,English
345,13,small,rooms,dist,9,0.98,English
346,13,small,rooms,coll,9,0.97,English
347,13,dark,windows,coll,12,0.99,English
348,13,dark,windows,dist,12,0.99,English
349,13,unchanged,shares,coll,13,0.99,English
350,13,unchanged,shares,dist,13,0.7,English
351,13,full,streets,dist,14,0.17,English
352,13,full,streets,coll,14,0.98,English
353,13,disappointing,results,coll,15,0.98,English
354,13,disappointing,results,dist,15,0.62,English
355,13,open,eyes,coll,16,0.99,English
356,13,open,eyes,dist,16,0.98,English
357,13,bare,walls,coll,17,0.66,English
358,13,bare,walls,dist,17,0.98,English
359,13,small,children,dist,19,0.98,English
360,13,small,children,coll,19,0.97,English
361,13,unreasonable,items,dist,20,0.53,English
362,13,unreasonable,items,coll,20,0.97,English
363,13,open,gates,coll,24,0.79,English
364,13,open,gates,dist,24,0.97,English
365,13,busy,roads,dist,28,0.98,English
366,13,busy,roads,coll,28,0.98,English
367,13,encouraging,results,coll,32,0.98,English
368,13,encouraging,results,dist,32,0.97,English
369,14,consistent,injuries,dist,6,0.2,English
370,14,consistent,injuries,coll,6,0.85,English
371,14,unchanged,shares,dist,7,0.81,English
372,14,unchanged,shares,coll,7,0.79,English
373,14,gratifying,results,coll,10,0.87,English
374,14,gratifying,results,dist,10,0.59,English
375,14,quiet,streets,coll,15,0.5,English
376,14,quiet,streets,dist,15,0.91,English
377,14,open,doors,coll,16,0.47,English
378,14,open,doors,dist,16,0.95,English
379,14,similar,facts,coll,18,0.08,English
380,14,similar,facts,dist,18,0.92,English
381,14,full,pubs,coll,19,0.73,English
382,14,full,pubs,dist,19,0.92,English
383,14,due,guests,coll,23,0.89,English
384,14,due,guests,dist,23,0.63,English
385,14,small,children,coll,25,0.2,English
386,14,small,children,dist,25,0.98,English
387,14,open,curtains,dist,28,0.93,English
388,14,open,curtains,coll,28,0.53,English
389,14,open,gates,dist,31,0.69,English
390,14,open,gates,coll,31,0.93,English
391,14,open,pubs,dist,32,0.44,English
392,14,open,pubs,coll,32,0.91,English
393,15,disappointing,results,coll,5,1,English
394,15,disappointing,results,dist,5,0.5,English
395,15,small,classes,coll,8,0.16,English
396,15,small,classes,dist,8,0.87,English
397,15,unchanged,shares,dist,11,0.57,English
398,15,unchanged,shares,coll,11,0.89,English
399,15,encouraging,results,dist,12,0.57,English
400,15,encouraging,results,coll,12,0.93,English
401,15,guilty,men,dist,13,0.97,English
402,15,guilty,men,coll,13,0.67,English
403,15,difficult,conditions,dist,14,0.5,English
404,15,difficult,conditions,coll,14,0.97,English
405,15,small,children,dist,15,0.99,English
406,15,small,children,coll,15,0.05,English
407,15,small,rooms,coll,20,0.15,English
408,15,small,rooms,dist,20,0.99,English
409,15,dark,windows,dist,21,0.99,English
410,15,dark,windows,coll,21,0.21,English
411,15,open,curtains,coll,27,0.1,English
412,15,open,curtains,dist,27,1,English
413,15,gratifying,results,coll,29,1,English
414,15,gratifying,results,dist,29,0.91,English
415,15,bright,eyes,dist,30,0.21,English
416,15,bright,eyes,coll,30,1,English
417,15,white,walls,dist,32,1,English
418,15,white,walls,coll,32,0.26,English
419,16,full,streets,coll,3,0.51,English
420,16,full,streets,dist,3,0.72,English
421,16,full,pubs,coll,8,0.15,English
422,16,full,pubs,dist,8,0.86,English
423,16,due,guests,dist,9,0.39,English
424,16,due,guests,coll,9,0.82,English
425,16,good,omens,coll,11,0.82,English
426,16,good,omens,dist,11,0.38,English
427,16,bright,colors,dist,12,0.8,English
428,16,bright,colors,coll,12,0.15,English
429,16,encouraging,results,dist,13,0.16,English
430,16,encouraging,results,coll,13,0.76,English
431,16,small,classes,dist,17,0.9,English
432,16,small,classes,coll,17,0.23,English
433,16,small,children,dist,22,0.95,English
434,16,small,children,coll,22,0.61,English
435,16,bright,eyes,dist,23,0.72,English
436,16,bright,eyes,coll,23,0.24,English
437,16,disappointing,results,dist,24,0.14,English
438,16,disappointing,results,coll,24,0.95,English
439,16,open,windows,dist,25,0.85,English
440,16,open,windows,coll,25,0.39,English
441,16,young,children,dist,28,0.88,English
442,16,young,children,coll,28,0.16,English
443,16,quiet,streets,dist,29,0.18,English
444,16,quiet,streets,coll,29,0.86,English
445,16,full,papers,coll,31,0.56,English
446,16,full,papers,dist,31,0.26,English
447,17,small,rooms,dist,4,1,English
448,17,small,rooms,coll,4,0.03,English
449,17,guilty,defendants,dist,11,0.97,English
450,17,guilty,defendants,coll,11,1,English
451,17,open,curtains,dist,12,0.01,English
452,17,open,curtains,coll,12,1,English
453,17,open,windows,dist,13,0.98,English
454,17,open,windows,coll,13,0.02,English
455,17,bright,eyes,dist,14,0.02,English
456,17,bright,eyes,coll,14,0.98,English
457,17,quiet,dogs,dist,16,0.01,English
458,17,quiet,dogs,coll,16,0.98,English
459,17,full,streets,dist,17,0.98,English
460,17,full,streets,coll,17,0.03,English
461,17,closed,doors,coll,19,1,English
462,17,closed,doors,dist,19,0.01,English
463,17,gratifying,results,coll,22,0.96,English
464,17,gratifying,results,dist,22,0.02,English
465,17,small,numbers,coll,23,0.97,English
466,17,small,numbers,dist,23,0.97,English
467,17,small,classes,dist,24,0.96,English
468,17,small,classes,coll,24,0,English
469,17,open,pubs,coll,28,0.02,English
470,17,open,pubs,dist,28,0.97,English
471,17,consistent,injuries,dist,31,0.02,English
472,17,consistent,injuries,coll,31,0.96,English
473,18,small,rooms,coll,3,0.25,English
474,18,small,rooms,dist,3,0.8,English
475,18,good,omens,dist,4,0.57,English
476,18,good,omens,coll,4,0.44,English
477,18,guilty,men,coll,8,0.25,English
478,18,guilty,men,dist,8,0.81,English
479,18,bare,walls,coll,9,0.23,English
480,18,bare,walls,dist,9,0.82,English
481,18,bright,colors,dist,10,0.78,English
482,18,bright,colors,coll,10,0.24,English
483,18,closed,shops,coll,11,0.26,English
484,18,closed,shops,dist,11,0.83,English
485,18,white,walls,dist,13,0.84,English
486,18,white,walls,coll,13,0.21,English
487,18,friendly,people,dist,14,0.27,English
488,18,friendly,people,coll,14,0.76,English
489,18,full,pubs,dist,17,0.75,English
490,18,full,pubs,coll,17,0.26,English
491,18,open,doors,dist,19,0.76,English
492,18,open,doors,coll,19,0.29,English
493,18,open,eyes,dist,21,0.84,English
494,18,open,eyes,coll,21,0.25,English
495,18,quiet,dogs,coll,24,0.74,English
496,18,quiet,dogs,dist,24,0.37,English
497,18,difficult,conditions,coll,29,0.47,English
498,18,difficult,conditions,dist,29,0.47,English
499,18,open,gates,dist,30,0.51,English
500,18,open,gates,coll,30,0.52,English
501,18,open,curtains,coll,31,0.57,English
502,18,open,curtains,dist,31,0.57,English
503,19,young,children,dist,4,0.52,english
504,19,young,children,coll,4,0.76,english
505,19,bare,walls,dist,5,0.48,english
506,19,bare,walls,coll,5,0.7,english
507,19,difficult,conditions,dist,7,0.43,english
508,19,difficult,conditions,coll,7,0.74,english
509,19,open,pubs,coll,8,0.79,english
510,19,open,pubs,dist,8,0.81,english
511,19,busy,roads,coll,9,0.77,english
512,19,busy,roads,dist,9,0.44,english
513,19,small,children,dist,10,0.63,english
514,19,small,children,coll,10,0.7,english
515,19,similar,facts,dist,12,0.5,english
516,19,similar,facts,coll,12,0.74,english
517,19,unreasonable,items,coll,15,0.78,english
518,19,unreasonable,items,dist,15,0.47,english
519,19,small,rooms,coll,18,0.77,english
520,19,small,rooms,dist,18,0.55,english
521,19,open,windows,coll,20,0.75,english
522,19,open,windows,dist,20,0.63,english
523,19,quiet,streets,dist,21,0.51,english
524,19,quiet,streets,coll,21,0.73,english
525,19,full,pubs,dist,22,0.7,english
526,19,full,pubs,coll,22,0.73,english
527,19,closed,doors,dist,25,0.63,english
528,19,closed,doors,coll,25,0.76,english
529,19,open,gates,coll,28,0.75,english
530,19,open,gates,dist,28,0.66,english
531,21,friendly,people,coll,3,0.78,English
532,21,friendly,people,dist,3,0.66,English
533,21,good,omens,dist,6,0.85,English
534,21,good,omens,coll,6,0.83,English
535,21,full,pubs,coll,7,0.67,English
536,21,full,pubs,dist,7,0.96,English
537,21,open,windows,coll,9,0.92,English
538,21,open,windows,dist,9,0.38,English
539,21,small,rooms,dist,10,0.8,English
540,21,small,rooms,coll,10,0.4,English
541,21,similar,facts,coll,13,0.91,English
542,21,similar,facts,dist,13,0.63,English
543,21,open,eyes,dist,15,0.03,English
544,21,open,eyes,coll,15,0.98,English
545,21,unreasonable,items,dist,18,0.45,English
546,21,unreasonable,items,coll,18,0.86,English
547,21,unchanged,shares,coll,21,0.81,English
548,21,unchanged,shares,dist,21,0.7,English
549,21,bright,colors,coll,23,0.82,English
550,21,bright,colors,dist,23,0.91,English
551,21,guilty,men,coll,24,0.65,English
552,21,guilty,men,dist,24,0.96,English
553,21,bright,eyes,dist,26,0.11,English
554,21,bright,eyes,coll,26,0.9,English
555,21,liable,defendants,dist,28,0.42,English
556,21,liable,defendants,coll,28,0.93,English
557,21,friendly,natives,coll,31,0.73,English
558,21,friendly,natives,dist,31,0.78,English
559,21,gratifying,results,coll,32,0.8,English
560,21,gratifying,results,dist,32,0.56,English
561,22,encouraging,results,dist,5,0.82,english
562,22,encouraging,results,coll,5,0.81,english
563,22,small,classes,dist,7,0.93,english
564,22,small,classes,coll,7,0.43,english
565,22,young,children,coll,8,0.17,english
566,22,young,children,dist,8,0.92,english
567,22,liable,defendants,coll,13,0.97,english
568,22,liable,defendants,dist,13,0.96,english
569,22,good,omens,coll,15,0.95,english
570,22,good,omens,dist,15,0.92,english
571,22,open,doors,coll,16,0.97,english
572,22,open,doors,dist,16,0.97,english
573,22,open,pubs,coll,17,0.95,english
574,22,open,pubs,dist,17,0.95,english
575,22,guilty,defendants,coll,19,0.95,english
576,22,guilty,defendants,dist,19,0.95,english
577,22,open,gates,dist,22,0.97,english
578,22,open,gates,coll,22,0.96,english
579,22,small,numbers,dist,25,0.94,english
580,22,small,numbers,coll,25,0.94,english
581,22,busy,roads,dist,26,0.95,english
582,22,busy,roads,coll,26,0.95,english
583,22,disappointing,results,dist,27,0.98,english
584,22,disappointing,results,coll,27,0.98,english
585,22,similar,facts,dist,29,0.98,english
586,22,similar,facts,coll,29,0.98,english
587,22,quiet,streets,coll,31,0.96,english
588,22,quiet,streets,dist,31,0.96,english
589,23,unreasonable,items,dist,3,0.91,English
590,23,unreasonable,items,coll,3,0.91,English
591,23,encouraging,results,coll,4,0.92,English
592,23,encouraging,results,dist,4,0.92,English
593,23,dark,windows,coll,8,0.76,English
594,23,dark,windows,dist,8,0.76,English
595,23,open,windows,coll,9,0.87,English
596,23,open,windows,dist,9,0.88,English
597,23,quiet,streets,dist,11,0.9,English
598,23,quiet,streets,coll,11,0.15,English
599,23,open,gates,dist,13,0.85,English
600,23,open,gates,coll,13,0.87,English
601,23,closed,shops,coll,15,0.93,English
602,23,closed,shops,dist,15,0.92,English
603,23,similar,facts,coll,17,0.89,English
604,23,similar,facts,dist,17,0.16,English
605,23,closed,doors,coll,18,0.87,English
606,23,closed,doors,dist,18,0.51,English
607,23,bright,colors,coll,19,0.5,English
608,23,bright,colors,dist,19,0.89,English
609,23,full,pubs,dist,20,0.86,English
610,23,full,pubs,coll,20,0.45,English
611,23,small,numbers,dist,21,0.44,English
612,23,small,numbers,coll,21,0.92,English
613,23,difficult,conditions,dist,25,0.48,English
614,23,difficult,conditions,coll,25,0.86,English
615,23,consistent,injuries,coll,28,0.91,English
616,23,consistent,injuries,dist,28,0.11,English
617,24,open,pubs,coll,3,0.5,English
618,24,open,pubs,dist,3,0.5,English
619,24,open,curtains,coll,4,0.48,English
620,24,open,curtains,dist,4,0.48,English
621,24,bright,colors,dist,6,0.45,English
622,24,bright,colors,coll,6,0.45,English
623,24,guilty,defendants,dist,7,0.49,English
624,24,guilty,defendants,coll,7,0.49,English
625,24,unreasonable,items,coll,8,0.5,English
626,24,unreasonable,items,dist,8,0.5,English
627,24,full,streets,coll,11,0.48,English
628,24,full,streets,dist,11,0.48,English
629,24,friendly,natives,coll,13,0.5,English
630,24,friendly,natives,dist,13,0.5,English
631,24,encouraging,results,dist,14,0.46,English
632,24,encouraging,results,coll,14,0.46,English
633,24,closed,doors,coll,16,0.48,English
634,24,closed,doors,dist,16,0.48,English
635,24,difficult,conditions,coll,21,0.47,English
636,24,difficult,conditions,dist,21,0.47,English
637,24,good,omens,dist,23,0.51,English
638,24,good,omens,coll,23,0.51,English
639,24,bright,eyes,dist,24,0.48,English
640,24,bright,eyes,coll,24,0.48,English
641,24,small,numbers,dist,29,0.5,English
642,24,small,numbers,coll,29,0.5,English
643,24,consistent,injuries,coll,31,0.99,English
644,24,consistent,injuries,dist,31,0.51,English
645,25,bright,eyes,coll,8,0.71,English
646,25,bright,eyes,dist,8,0.7,English
647,25,consistent,injuries,dist,9,0.53,English
648,25,consistent,injuries,coll,9,0.7,English
649,25,due,guests,dist,11,0.78,English
650,25,due,guests,coll,11,0.74,English
651,25,open,windows,dist,12,0.51,English
652,25,open,windows,coll,12,0.59,English
653,25,small,rooms,coll,14,0.71,English
654,25,small,rooms,dist,14,0.67,English
655,25,unreasonable,items,coll,15,0.49,English
656,25,unreasonable,items,dist,15,0.51,English
657,25,friendly,natives,dist,17,0.57,English
658,25,friendly,natives,coll,17,0.48,English
659,25,guilty,defendants,dist,18,0.64,English
660,25,guilty,defendants,coll,18,0.62,English
661,25,open,eyes,coll,19,0.68,English
