"","trial","workerid","disambiguator","utterance","scenario","choice","language"
"303",6,33,"each ","tall","move","dist_list","English"
"304",7,33,"together ","tall","move","coll_list","English"
"305",8,33,"together ","big","move","coll_list","English"
"306",9,33,"","heavy","move","coll_list","English"
"307",1,34,"together ","big","move","coll_list","English"
"308",2,34,"together ","heavy","move","dist_list","English"
"309",3,34,"","heavy","move","dist_list","English"
"310",4,34,"","big","move","coll_list","English"
"311",5,34,"each ","big","move","dist_list","English"
"312",6,34,"","tall","move","coll_list","English"
"313",7,34,"together ","tall","move","coll_list","English"
"314",8,34,"each ","heavy","move","dist_list","English"
"315",9,34,"each ","tall","move","dist_list","English"
"316",1,35,"","tall","move","dist_list","English"
"317",2,35,"each ","big","move","dist_list","English"
"318",3,35,"each ","tall","move","dist_list","English"
"319",4,35,"each ","heavy","move","coll_list","English"
"320",5,35,"together ","big","move","coll_list","English"
"321",6,35,"together ","heavy","move","coll_list","English"
"322",7,35,"","heavy","move","coll_list","English"
"323",8,35,"","big","move","dist_list","English"
"324",9,35,"together ","tall","move","coll_list","English"
"325",1,36,"together ","heavy","inspect","dist_list","English"
"326",2,36,"each ","tall","inspect","coll_list","English"
"327",3,36,"","tall","inspect","coll_list","English"
"328",4,36,"together ","big","inspect","dist_list","English"
"329",5,36,"each ","big","inspect","dist_list","English"
"330",6,36,"","big","inspect","dist_list","English"
"331",7,36,"","heavy","inspect","dist_list","English"
"332",8,36,"each ","heavy","inspect","dist_list","English"
"333",9,36,"together ","tall","inspect","coll_list","English"
"334",1,37,"each ","tall","move","coll_list","English"
"335",2,37,"together ","tall","move","coll_list","English"
"336",3,37,"","heavy","move","coll_list","English"
"337",4,37,"each ","heavy","move","dist_list","English"
"338",5,37,"together ","big","move","coll_list","English"
"339",6,37,"together ","heavy","move","coll_list","English"
"340",7,37,"","big","move","dist_list","English"
"341",8,37,"each ","big","move","dist_list","English"
"342",9,37,"","tall","move","coll_list","English"
"343",1,38,"together ","heavy","move","dist_list","English"
"344",2,38,"","big","move","dist_list","English"
"345",3,38,"each ","heavy","move","dist_list","English"
"346",4,38,"each ","big","move","dist_list","English"
"347",5,38,"","tall","move","coll_list","English"
"348",6,38,"together ","tall","move","coll_list","English"
"349",7,38,"","heavy","move","dist_list","English"
"350",8,38,"each ","tall","move","dist_list","English"
"351",9,38,"together ","big","move","coll_list","English"
"352",1,39,"","heavy","move","dist_list","English"
"353",2,39,"each ","big","move","dist_list","English"
"354",3,39,"","tall","move","coll_list","English"
"355",4,39,"together ","tall","move","coll_list","English"
"356",5,39,"each ","heavy","move","dist_list","English"
"357",6,39,"together ","heavy","move","coll_list","English"
"358",7,39,"","big","move","dist_list","English"
"359",8,39,"each ","tall","move","dist_list","English"
"360",9,39,"together ","big","move","coll_list","English"
"361",1,40,"together ","heavy","move","coll_list","English"
"362",2,40,"together ","tall","move","coll_list","English"
"363",3,40,"each ","heavy","move","dist_list","English"
"364",4,40,"","heavy","move","coll_list","English"
"365",5,40,"together ","big","move","dist_list","English"
"366",6,40,"","big","move","dist_list","English"
"367",7,40,"","tall","move","dist_list","English"
"368",8,40,"each ","tall","move","dist_list","English"
"369",9,40,"each ","big","move","dist_list","English"
"370",1,41,"together ","heavy","move","coll_list","English"
"371",2,41,"together ","tall","move","dist_list","English"
"372",3,41,"","big","move","dist_list","English"
"373",4,41,"each ","tall","move","dist_list","English"
"374",5,41,"together ","big","move","dist_list","English"
"375",6,41,"each ","heavy","move","dist_list","English"
"376",7,41,"each ","big","move","coll_list","English"
"377",8,41,"","tall","move","coll_list","English"
"378",9,41,"","heavy","move","coll_list","English"
"379",1,42,"together ","heavy","move","dist_list","English"
"380",2,42,"each ","heavy","move","dist_list","English"
"381",3,42,"together ","tall","move","coll_list","English"
