workerid,predicate,utterance,response,context,sentence_type
1,tall,wide,0,random,coll
1,tall,wide,1,random,dist
1,tall,small,1,random,dist
1,tall,small,0,random,coll
1,tall,humongous,1,random,dist
1,tall,humongous,0,random,coll
1,tall,huge,0,random,coll
1,tall,huge,1,random,dist
1,tall,thin,0,random,coll
1,tall,thin,1,random,dist
1,tall,slight,0.19,random,dist
1,tall,slight,0.82,random,coll
1,tall,short,0,random,dist
1,tall,short,1,random,coll
2,tall,narrow,0.29,regular,dist
2,tall,narrow,0.63,regular,coll
2,tall,deep,0.46,regular,coll
2,tall,deep,0.17,regular,dist
2,tall,humongous,0.08,regular,dist
2,tall,humongous,0.68,regular,coll
2,tall,low,0.29,regular,dist
2,tall,low,0.01,regular,coll
2,tall,flat,0.03,regular,coll
2,tall,flat,0.34,regular,dist
2,tall,thin,0.14,regular,dist
2,tall,thin,0.21,regular,coll
2,tall,tall,0.13,regular,dist
2,tall,tall,0.79,regular,coll
2,tall,skinny,0.38,regular,coll
2,tall,skinny,0.17,regular,dist
2,tall,fat,0.2,regular,coll
2,tall,fat,0.43,regular,dist
2,tall,full,0.88,regular,dist
2,tall,full,0.04,regular,coll
2,tall,long,0.32,regular,dist
2,tall,long,0.12,regular,coll
2,tall,large,0.19,regular,dist
2,tall,large,0.6,regular,coll
2,tall,tiny,0.52,regular,dist
2,tall,tiny,0.1,regular,coll
2,tall,lengthy,0.55,regular,coll
2,tall,lengthy,0.06,regular,dist
2,tall,heavy,0.06,regular,dist
2,tall,heavy,0.85,regular,coll
2,tall,huge,0.68,regular,coll
2,tall,huge,0.09,regular,dist
2,tall,short,0.05,regular,coll
2,tall,short,0.51,regular,dist
2,tall,mini,0.07,regular,coll
2,tall,mini,0.38,regular,dist
2,tall,slight,0.06,regular,coll
2,tall,slight,0.31,regular,dist
2,tall,little,0.44,regular,dist
2,tall,little,0.05,regular,coll
2,tall,small,0.48,regular,dist
2,tall,small,0.05,regular,coll
2,tall,high,0.05,regular,dist
2,tall,high,0.86,regular,coll
2,tall,thick,0.18,regular,coll
2,tall,thick,0.34,regular,dist
2,tall,wide,0.13,regular,coll
2,tall,wide,0.33,regular,dist
2,tall,big,0.16,regular,dist
2,tall,big,0.69,regular,coll
3,tall,narrow,0.43,random,dist
3,tall,narrow,0.41,random,coll
3,tall,humongous,0.3,random,coll
3,tall,humongous,0.18,random,dist
3,tall,thin,0.25,random,dist
3,tall,thin,0.12,random,coll
3,tall,thick,0.33,random,coll
3,tall,thick,0.16,random,dist
3,tall,mini,0.16,random,coll
3,tall,mini,0.08,random,dist
3,tall,slight,0.14,random,dist
3,tall,slight,0.07,random,coll
3,tall,wide,0.24,random,dist
3,tall,wide,0.18,random,coll
3,tall,heavy,0.39,random,dist
3,tall,heavy,0.41,random,coll
3,tall,lengthy,0.27,random,coll
3,tall,lengthy,0.18,random,dist
3,tall,full,0.21,random,dist
3,tall,full,0.4,random,coll
3,tall,deep,0.15,random,coll
3,tall,deep,0.12,random,dist
3,tall,large,0.16,random,dist
3,tall,large,0.17,random,coll
3,tall,skinny,0.18,random,coll
3,tall,skinny,0.1,random,dist
3,tall,small,0.11,random,dist
3,tall,small,0.05,random,coll
3,tall,long,0.2,random,coll
3,tall,long,0.14,random,dist
3,tall,flat,0,random,dist
3,tall,flat,0,random,coll
3,tall,big,0.28,random,coll
3,tall,big,0.21,random,dist
3,tall,tall,0.14,random,coll
3,tall,tall,0.31,random,dist
3,tall,short,0.09,random,coll
3,tall,short,0.04,random,dist
3,tall,fat,0.17,random,coll
3,tall,fat,0.34,random,dist
3,tall,high,0.14,random,coll
3,tall,high,0.1,random,dist
3,tall,little,0.06,random,coll
3,tall,little,0.03,random,dist
3,tall,huge,0.14,random,coll
3,tall,huge,0.22,random,dist
3,tall,low,0.17,random,dist
3,tall,low,0.18,random,coll
3,tall,tiny,0.11,random,coll
3,tall,tiny,0.04,random,dist
4,tall,humongous,0.93,regular,coll
4,tall,humongous,0.06,regular,dist
4,tall,high,0.06,regular,dist
4,tall,high,0.92,regular,coll
4,tall,mini,0.88,regular,dist
4,tall,mini,0.07,regular,coll
4,tall,flat,0.8,regular,dist
4,tall,flat,0.05,regular,coll
4,tall,lengthy,0.93,regular,coll
4,tall,lengthy,0.11,regular,dist
4,tall,thin,0.88,regular,dist
4,tall,thin,0.88,regular,coll
4,tall,slight,0.92,regular,dist
4,tall,slight,0.05,regular,coll
4,tall,big,0.07,regular,dist
4,tall,big,0.88,regular,coll
4,tall,wide,0.7,regular,coll
4,tall,wide,0.71,regular,dist
4,tall,long,0.83,regular,coll
4,tall,long,0.15,regular,dist
4,tall,large,0.13,regular,dist
4,tall,large,0.84,regular,coll
4,tall,huge,0.87,regular,coll
4,tall,huge,0.1,regular,dist
4,tall,low,0.1,regular,coll
4,tall,low,0.83,regular,dist
4,tall,thick,0.25,regular,dist
4,tall,thick,0.83,regular,coll
4,tall,heavy,0.47,regular,dist
4,tall,heavy,0.86,regular,coll
4,tall,full,0.84,regular,dist
4,tall,full,0.83,regular,coll
4,tall,short,0.08,regular,coll
4,tall,short,0.8,regular,dist
4,tall,tiny,0.77,regular,dist
4,tall,tiny,0.24,regular,coll
4,tall,tall,0.91,regular,coll
4,tall,tall,0.14,regular,dist
4,tall,little,0.07,regular,coll
4,tall,little,0.83,regular,dist
4,tall,small,0.11,regular,coll
4,tall,small,0.78,regular,dist
4,tall,deep,0.68,regular,coll
4,tall,deep,0.26,regular,dist
4,tall,fat,0.72,regular,dist
4,tall,fat,0.24,regular,coll
4,tall,skinny,0.87,regular,coll
4,tall,skinny,0.86,regular,dist
4,tall,narrow,0.81,regular,dist
4,tall,narrow,0.83,regular,coll
5,tall,big,0.33,regular,dist
5,tall,big,0.56,regular,coll
5,tall,little,0.47,regular,coll
5,tall,little,0.6,regular,dist
5,tall,humongous,0.52,regular,dist
5,tall,humongous,0.62,regular,coll
5,tall,tiny,0.49,regular,coll
5,tall,tiny,0.4,regular,dist
5,tall,full,0.41,regular,dist
5,tall,full,0.57,regular,coll
5,tall,tall,0.46,regular,dist
5,tall,tall,0.54,regular,coll
5,tall,narrow,0.43,regular,dist
5,tall,narrow,0.59,regular,coll
5,tall,wide,0.57,regular,dist
5,tall,wide,0.62,regular,coll
5,tall,slight,0.47,regular,coll
5,tall,slight,0.56,regular,dist
5,tall,short,0.62,regular,coll
5,tall,short,0.69,regular,dist
5,tall,small,0.45,regular,coll
5,tall,small,0.63,regular,dist
5,tall,huge,0.48,regular,coll
5,tall,huge,0.39,regular,dist
5,tall,thick,0.35,regular,dist
5,tall,thick,0.51,regular,coll
5,tall,flat,0.49,regular,coll
5,tall,flat,0.61,regular,dist
5,tall,heavy,0.56,regular,dist
5,tall,heavy,0.6,regular,coll
5,tall,deep,0.46,regular,coll
5,tall,deep,0.37,regular,dist
5,tall,low,0.45,regular,coll
5,tall,low,0.58,regular,dist
5,tall,lengthy,0.55,regular,dist
5,tall,lengthy,0.66,regular,coll
5,tall,mini,0.48,regular,dist
5,tall,mini,0.58,regular,coll
5,tall,fat,0.62,regular,dist
5,tall,fat,0.72,regular,coll
5,tall,thin,0.42,regular,dist
5,tall,thin,0.37,regular,coll
5,tall,long,0.47,regular,dist
5,tall,long,0.62,regular,coll
5,tall,skinny,0.5,regular,dist
5,tall,skinny,0.5,regular,coll
5,tall,high,0.7,regular,dist
5,tall,high,0.61,regular,coll
5,tall,large,0.33,regular,coll
5,tall,large,0.4,regular,dist
6,tall,wide,0.76,regular,dist
6,tall,wide,0.18,regular,coll
6,tall,full,0.54,regular,coll
6,tall,full,0.41,regular,dist
6,tall,fat,0.21,regular,coll
6,tall,fat,0.61,regular,dist
6,tall,short,0.57,regular,dist
6,tall,short,0.42,regular,coll
6,tall,big,0.69,regular,dist
6,tall,big,0.78,regular,coll
6,tall,small,0.72,regular,coll
6,tall,small,0.76,regular,dist
6,tall,tiny,0.2,regular,coll
6,tall,tiny,0.79,regular,dist
6,tall,mini,0.2,regular,coll
6,tall,mini,0.79,regular,dist
6,tall,flat,0.81,regular,dist
6,tall,flat,0.32,regular,coll
6,tall,high,0.89,regular,coll
6,tall,high,0.43,regular,dist
6,tall,tall,0.93,regular,dist
6,tall,tall,0.54,regular,coll
6,tall,thin,0.73,regular,dist
6,tall,thin,0.76,regular,coll
6,tall,large,0.57,regular,coll
6,tall,large,0.72,regular,dist
6,tall,little,0.18,regular,coll
6,tall,little,0.78,regular,dist
6,tall,lengthy,0.26,regular,dist
6,tall,lengthy,0.7,regular,coll
6,tall,skinny,0.66,regular,dist
6,tall,skinny,0.76,regular,coll
6,tall,humongous,0.72,regular,coll
6,tall,humongous,0.32,regular,dist
6,tall,deep,0.13,regular,coll
6,tall,deep,0.12,regular,dist
6,tall,thick,0.12,regular,coll
6,tall,thick,0.65,regular,dist
6,tall,narrow,0.68,regular,dist
6,tall,narrow,0.77,regular,coll
6,tall,huge,0.64,regular,dist
6,tall,huge,0.33,regular,coll
6,tall,slight,0.7,regular,dist
6,tall,slight,0.45,regular,coll
6,tall,heavy,0.8,regular,coll
6,tall,heavy,0.4,regular,dist
6,tall,long,0.71,regular,coll
6,tall,long,0.5,regular,dist
6,tall,low,0.68,regular,dist
6,tall,low,0.2,regular,coll
7,tall,wide,0.16,random,dist
7,tall,wide,0.8,random,coll
7,tall,mini,0.59,random,dist
7,tall,mini,0.13,random,coll
7,tall,huge,0.77,random,coll
7,tall,huge,0.11,random,dist
7,tall,flat,0.84,random,dist
7,tall,flat,0.67,random,coll
7,tall,heavy,0.8,random,coll
7,tall,heavy,0.51,random,dist
7,tall,high,0.74,random,coll
7,tall,high,0.16,random,dist
7,tall,little,0.12,random,coll
7,tall,little,0.83,random,dist
7,tall,tall,0.14,random,dist
7,tall,tall,0.73,random,coll
7,tall,thick,0.75,random,coll
7,tall,thick,0.16,random,dist
7,tall,tiny,0.75,random,dist
7,tall,tiny,0.19,random,coll
7,tall,short,0.14,random,coll
7,tall,short,0.67,random,dist
7,tall,humongous,0.87,random,coll
7,tall,humongous,0.13,random,dist
7,tall,slight,0.2,random,coll
7,tall,slight,0.71,random,dist
7,tall,thin,0.16,random,coll
7,tall,thin,0.81,random,dist
7,tall,lengthy,0.7,random,coll
7,tall,lengthy,0.22,random,dist
7,tall,fat,0.17,random,dist
7,tall,fat,0.66,random,coll
7,tall,deep,0.76,random,coll
7,tall,deep,0.25,random,dist
7,tall,small,0.2,random,coll
7,tall,small,0.8,random,dist
7,tall,skinny,0.21,random,coll
7,tall,skinny,0.82,random,dist
7,tall,large,0.82,random,coll
7,tall,large,0.17,random,dist
7,tall,full,0.79,random,dist
7,tall,full,0.58,random,coll
7,tall,narrow,0.18,random,coll
7,tall,narrow,0.74,random,dist
7,tall,low,0.75,random,dist
7,tall,low,0.24,random,coll
7,tall,long,0.24,random,dist
7,tall,long,0.78,random,coll
7,tall,big,0.22,random,dist
7,tall,big,0.77,random,coll
8,tall,heavy,0.03,random,dist
8,tall,heavy,0.95,random,coll
8,tall,high,0.02,random,dist
8,tall,high,0.97,random,coll
8,tall,small,0.5,random,dist
8,tall,small,0.5,random,coll
8,tall,tiny,0.24,random,dist
8,tall,tiny,0.24,random,coll
8,tall,short,0.23,random,coll
8,tall,short,0.63,random,dist
8,tall,humongous,0.64,random,coll
8,tall,humongous,0.13,random,dist
8,tall,lengthy,0.41,random,coll
8,tall,lengthy,0.59,random,dist
8,tall,slight,0.63,random,dist
8,tall,slight,0.39,random,coll
8,tall,thick,0.67,random,dist
8,tall,thick,0.65,random,coll
8,tall,mini,0.66,random,dist
8,tall,mini,0.42,random,coll
8,tall,skinny,0.71,random,coll
8,tall,skinny,0.7,random,dist
8,tall,deep,0.69,random,coll
8,tall,deep,0.69,random,dist
8,tall,narrow,0.49,random,coll
8,tall,narrow,0.57,random,dist
8,tall,low,0.3,random,dist
8,tall,low,0.52,random,coll
8,tall,little,0.68,random,coll
8,tall,little,0.68,random,dist
8,tall,flat,0.67,random,dist
8,tall,flat,0.68,random,coll
8,tall,full,0.56,random,coll
8,tall,full,0.76,random,dist
8,tall,wide,0.71,random,dist
8,tall,wide,0.7,random,coll
8,tall,fat,0.36,random,coll
8,tall,fat,0.59,random,dist
8,tall,long,0.41,random,coll
8,tall,long,0.54,random,dist
8,tall,thin,0.34,random,coll
8,tall,thin,0.52,random,dist
8,tall,big,0.55,random,dist
8,tall,big,0.55,random,coll
8,tall,large,0.66,random,coll
8,tall,large,0.67,random,dist
8,tall,tall,0.64,random,coll
8,tall,tall,0.64,random,dist
8,tall,huge,0.67,random,dist
8,tall,huge,0.67,random,coll
